Kernel,C,Degree,Gamma,Coef0,Shrinking,Probability,Tol,MaxIter,Accuracy
linear,0.1692521254484024,4.687021828766402,0.343479054162685,0.9108988184159218,0.41632351393738465,0.22970056175069897,0.004827575007814548,180.9697538784193,0.625
linear,10.0,1.0,1.0,0.0,0.0,1.0,1e-06,190.48747626714254,0.640625
linear,3.914162590983787,4.306977027797846,0.724220502661436,0.2913684161719726,0.6993491305523348,0.24502847048008558,0.004591826411949487,188.91716655535953,0.625
linear,9.463729427024601,1.3294822785610712,0.8433406854157369,0.11674044423369312,0.02869856158725137,0.9630744065692595,0.009574406379962609,200.5479143220864,0.640625
linear,0.8188450623248361,1.0,0.001,1.0,1.0,1.0,1e-06,491.0516415373153,0.609375
linear,9.98431215538682,4.447750698916355,0.7374976170678118,0.23075882125838043,0.868322135326852,0.7411989008462673,0.003105388003385568,194.40114766377795,0.625
linear,10.0,5.0,1.0,0.0,1.0,0.0,1e-06,282.52383142108226,0.671875
linear,0.634262473429107,4.689527602937066,0.8234344640050376,0.2208566953052311,0.6446953189632455,0.06399902333317786,0.007453355241891972,351.95645423851875,0.59375
linear,9.791136302442423,4.22040288262721,0.356491344851813,0.703049140555562,0.6756825191567604,0.9494751125203423,0.005772538992247068,547.6644037033578,0.609375
linear,0.1,5.0,0.001,1.0,0.0,1.0,1e-06,109.0717962201121,0.59375
linear,0.564280470419923,4.650751524517169,0.6450319939796023,0.21740820036052122,0.39621978048393314,0.6439589801968804,0.00902312940837389,538.7203156065339,0.578125
linear,0.1,5.0,1.0,0.0,0.0,0.0,1e-06,266.2475939343715,0.65625
linear,9.925807640291543,4.124893649478228,0.5096859233388372,0.10928038280957475,0.5508202326918326,0.7937713323568751,0.0004894734221755369,460.0804939552445,0.59375
linear,5.468429780100903,1.1205370636610672,0.702828759516604,0.04539110405114399,0.5523187519312397,0.975065857813518,0.009739418079840039,232.148393446917,0.625
linear,8.40064684727893,4.984700131396584,0.16361198060034304,0.7202187423039621,0.8266825922626058,0.0027131466937405646,0.003629250568159392,228.26628845492138,0.625
linear,9.99039662266534,1.6941256171453394,0.8892763229561489,0.1427523605843567,0.11507118799141047,0.213748793503995,0.0016754264439664004,217.37133389683893,0.640625
linear,9.812385553704539,1.2017963708464974,0.17523176428077242,0.8297828030806002,0.9658911516878309,0.3342932368891979,0.0074029538508766715,304.72605484504174,0.65625
linear,9.772107547862937,4.5118133071369675,0.6636891097931216,0.9275112783833793,0.9484128492683093,0.27543186231000594,0.009836127673723265,303.9379217754241,0.625
linear,2.668567271479791,4.968163768527518,0.6310713351050021,0.1666669602393912,0.17136851992375113,0.7995517922325156,0.0010636722800016932,236.63115876992688,0.65625
linear,0.1,1.0,1.0,0.6190299797072704,0.3336685736434321,0.0,1e-06,652.4218846974072,0.640625
linear,8.678268268592653,1.2871544096446659,0.4722090466436517,0.2127748680984518,0.981906675644146,0.5976937748482546,0.0017125599044899061,651.9154980000279,0.59375
linear,0.1,5.0,0.001,0.3218450166112471,0.0,0.0,1e-06,658.3964022956716,0.640625
linear,10.0,1.0,0.001,0.0,0.0,0.0,1e-06,238.72264967746764,0.640625
linear,0.5508037752874925,1.5784733793436296,0.8136342584124331,0.6706165840701237,0.6291701940836182,0.08358373143778097,0.00317221150702019,815.0591343040696,0.578125
linear,9.267279774185946,1.1540650483592545,0.3497871484287498,0.4247315008301038,0.03552433041144043,0.8620479647719095,0.002368626095077447,308.2981402095905,0.609375
linear,0.10382991158059982,4.751850732912727,0.22721785495949645,0.21224548181945757,0.33582325690397274,0.34232864741292834,0.009916369581821417,321.6993239924738,0.640625
linear,8.455334952253548,1.020063653542953,0.4710169068179524,0.039333020770913496,0.5767332570071655,0.015268839899330255,1.8288487024189815e-05,300.5979933720042,0.625
linear,0.16928272341476502,3.3517234835189846,0.8910586699569947,0.6575970641735314,0.1313422502308491,0.07943868612174498,0.0007875289514275045,315.16407972545966,0.609375
linear,0.2954584439357435,1.6409966305499109,0.9166049838111098,0.5872973867138047,0.9052928109919026,0.700957550958507,0.008194838415128072,328.33897438730423,0.578125
linear,0.1,5.0,0.001,0.0,1.0,1.0,0.01,648.4106270563209,0.640625
linear,7.485719205317953,2.570006669092814,1.0,0.0,1.0,0.0,1e-06,282.85927655222525,0.671875
linear,9.185041503382612,4.942761796642179,0.3467935612993411,0.8281407863886765,0.9674681893124428,0.6446364056567978,0.009773898064576483,323.17474556466766,0.625
linear,9.080483861736,3.4572654864987427,0.34891669418417137,0.0025446990132604874,0.3373109952684017,0.8669725676838748,0.009788695309680129,559.0563685667139,0.59375
linear,9.024832550485403,4.690750653319467,0.9938861545306661,0.395763457268152,0.5770526704699986,0.8892252549488517,0.00798120866500809,262.3107809056388,0.609375
linear,8.755461827357555,1.0414598164499855,0.852235997921091,0.0355203110280099,0.8657293437247398,0.6166412713613818,0.002888958173366834,254.89412932086813,0.640625
linear,4.800018849660082,1.0,1.0,0.0,0.0,0.0,1e-06,223.2868724040905,0.640625
linear,0.256936911687445,3.273102367296963,0.5020931837845388,0.2944864083538854,0.7724348846248339,0.07426594052878843,0.00761375239199081,999.3838326694444,0.625
linear,0.3839197454118637,4.7861227030859155,0.5985015062072554,0.3508507414820695,0.4449735868047293,0.7063309388084502,0.0060278501110553875,428.62012679847203,0.59375
linear,6.426650481219139,1.0,0.001,1.0,1.0,0.0,0.01,259.0317116620952,0.640625
linear,3.271359327349118,4.836858086922482,0.7485138839945878,0.4077026492187673,0.9495694889168115,0.1230141551042413,0.0036114054276851324,266.3683844448097,0.640625
linear,5.322067103373899,1.026078183540907,0.8216812053533252,0.37613656818649854,0.6411781465606166,0.6770952529568193,0.00642384549947712,205.23413424369915,0.671875
linear,5.672089904623324,4.227544493234438,0.49132942441118077,0.17482557298640689,0.5558979704222362,0.020573013824824904,0.0007918804623898318,203.59957334386957,0.671875
linear,5.0530022905590375,1.7812586251061435,0.9475768482314609,0.285318715953117,0.7933662515546758,0.040613753389511675,0.0036742095079525033,202.105838416275,0.640625
linear,6.257193344562817,1.001042433312949,0.9386855186383749,0.5447538499878275,0.9988671492305001,0.8432950141509371,0.005575678280375271,210.34501450937094,0.59375
linear,9.552820980135852,4.654322662800931,0.5230585788317611,0.05300529164282297,0.7776996043667306,0.8864277266239831,0.004004082560820742,203.96327783588146,0.671875
linear,7.808553441115189,2.0026850115704438,0.5380084370972842,0.15918590557375,0.06337665304496465,0.8563565473669722,0.004366596430093429,205.37314310470774,0.671875
linear,6.284978234617207,5.0,0.001,1.0,0.0,1.0,0.01,205.22448239608283,0.671875
linear,9.848296832462081,3.07512656955382,0.7365455031182505,0.13295690037839258,0.8142983206450708,0.5996725603247599,0.0014147581259555471,959.6854547157873,0.59375
linear,9.744240289225043,1.0516863204006794,0.7149364107683996,0.2231341184302581,0.8196436181912028,0.8134987036392011,0.0010592125640551712,102.70828010254228,0.625
linear,0.5653900447351119,4.985840264924914,0.009136884748681639,0.3874949784899995,0.7649234266989176,0.4015664004288313,0.002129108106306236,161.92187423971765,0.578125
linear,9.991712301725219,3.724776001668894,0.13358175289108573,0.18380308953170366,0.7724248095421288,0.30139951995325276,0.005270596663069715,714.728811034603,0.59375
